q,CpT_sin,CpT_sn
0.14887,0.674244,0.721365
0.149639,0.674006,0.720636
0.150409,0.673769,0.719908
0.151178,0.673532,0.719183
0.151948,0.673294,0.718461
0.152717,0.673057,0.717741
0.153487,0.67282,0.717024
0.154257,0.672583,0.716309
0.155026,0.672347,0.715596
0.155796,0.67211,0.714886
0.156565,0.671874,0.714179
0.157335,0.671638,0.713474
0.158104,0.671402,0.712771
0.158874,0.671166,0.712072
0.159643,0.67093,0.711375
0.160413,0.670695,0.71068
0.161182,0.670459,0.709988
0.161952,0.670224,0.709299
0.162721,0.669989,0.708612
0.163491,0.669755,0.707928
0.164261,0.66952,0.707247
0.16503,0.669286,0.706568
0.1658,0.669052,0.705892
0.166569,0.668819,0.705219
0.167339,0.668585,0.704549
0.168108,0.668352,0.703882
0.168878,0.668119,0.703217
0.169647,0.667887,0.702555
0.170417,0.667654,0.701896
0.171186,0.667422,0.70124
0.171956,0.66719,0.700587
0.172725,0.666959,0.699937
0.173495,0.666728,0.69929
0.174265,0.666497,0.698646
0.175034,0.666267,0.698005
0.175804,0.666036,0.697367
0.176573,0.665807,0.696731
0.177343,0.665577,0.696099
0.178112,0.665348,0.69547
0.178882,0.665119,0.694845
0.179651,0.664891,0.694222
0.180421,0.664663,0.693602
0.18119,0.664436,0.692986
0.18196,0.664208,0.692372
0.182729,0.663982,0.691762
0.183499,0.663755,0.691155
0.184269,0.663529,0.690551
0.185038,0.663304,0.68995
0.185808,0.663078,0.689352
0.186577,0.662854,0.688758
0.187347,0.662629,0.688167
0.188116,0.662406,0.687578
0.188886,0.662182,0.686993
0.189655,0.661959,0.686411
0.190425,0.661737,0.685832
0.191194,0.661514,0.685257
0.191964,0.661293,0.684684
0.192733,0.661072,0.684114
0.193503,0.660851,0.683547
0.194273,0.66063,0.682984
0.195042,0.660411,0.682423
0.195812,0.660191,0.681865
0.196581,0.659972,0.68131
0.197351,0.659754,0.680757
0.19812,0.659535,0.680208
0.19889,0.659318,0.679661
0.199659,0.6591,0.679116
0.200429,0.658883,0.678574
0.201198,0.658667,0.678035
0.201968,0.658451,0.677498
0.202737,0.658235,0.676963
0.203507,0.65802,0.67643
0.204277,0.657805,0.6759
0.205046,0.65759,0.675371
0.205816,0.657376,0.674844
0.206585,0.657162,0.674319
0.207355,0.656948,0.673795
0.208124,0.656735,0.673273
0.208894,0.656522,0.672752
0.209663,0.656309,0.672232
0.210433,0.656096,0.671713
0.211202,0.655883,0.671194
0.211972,0.655671,0.670677
0.212741,0.655459,0.670159
0.213511,0.655247,0.669642
0.214281,0.655035,0.669125
0.21505,0.654823,0.668608
0.21582,0.654611,0.66809
0.216589,0.654399,0.667571
0.217359,0.654186,0.667051
0.218128,0.653974,0.66653
0.218898,0.653762,0.666008
0.219667,0.653549,0.665484
0.220437,0.653336,0.664957
0.221206,0.653123,0.664428
0.221976,0.65291,0.663896
0.222745,0.652696,0.663361
0.223515,0.652482,0.662823
0.224285,0.652267,0.66228
0.225054,0.652051,0.661733
0.225824,0.651835,0.661182
0.226593,0.651618,0.660626
0.227363,0.6514,0.660064
0.228132,0.651182,0.659496
0.228902,0.650962,0.658921
0.229671,0.650742,0.65834
0.230441,0.65052,0.657751
0.23121,0.650297,0.657154
0.23198,0.650073,0.656549
0.232749,0.649848,0.655935
0.233519,0.649621,0.655311
0.234289,0.649392,0.654677
0.235058,0.649162,0.654032
0.235828,0.64893,0.653375
0.236597,0.648696,0.652707
0.237367,0.64846,0.652026
0.238136,0.648222,0.651331
0.238906,0.647982,0.650622
0.239675,0.64774,0.649898
0.240445,0.647494,0.649159
0.241214,0.647247,0.648403
0.241984,0.646996,0.647629
0.242754,0.646742,0.646838
0.243523,0.646486,0.646028
0.244293,0.646226,0.645197
0.245062,0.645963,0.644347
0.245832,0.645696,0.643474
0.246601,0.645426,0.642579
0.247371,0.645151,0.64166
0.24814,0.644873,0.640716
0.24891,0.64459,0.639747
0.249679,0.644303,0.638751
0.250449,0.644011,0.637727
