#q	CpTsin	CpTsn
0.171697	0.54769	0.567773
0.172683	0.547533	0.567327
0.173669	0.547377	0.566885
0.174655	0.547222	0.566448
0.175641	0.547067	0.566015
0.176627	0.546913	0.565586
0.177613	0.546759	0.565161
0.178599	0.546605	0.56474
0.179585	0.546452	0.564323
0.180571	0.5463	0.563911
0.181557	0.546147	0.563502
0.182543	0.545996	0.563097
0.183529	0.545844	0.562696
0.184515	0.545693	0.562298
0.185501	0.545542	0.561904
0.186487	0.545392	0.561513
0.187473	0.545242	0.561126
0.188459	0.545092	0.560741
0.189445	0.544942	0.560359
0.190431	0.544793	0.559981
0.191417	0.544643	0.559604
0.192403	0.544494	0.55923
0.193389	0.544345	0.558858
0.194375	0.544196	0.558488
0.195361	0.544047	0.558119
0.196347	0.543898	0.557752
0.197333	0.543749	0.557385
0.198319	0.543599	0.557019
0.199305	0.54345	0.556653
0.200291	0.5433	0.556287
0.201277	0.54315	0.555921
0.202263	0.543	0.555553
0.203248	0.542849	0.555185
0.204234	0.542697	0.554814
0.20522	0.542545	0.554441
0.206206	0.542393	0.554065
0.207192	0.542239	0.553686
0.208178	0.542085	0.553303
0.209164	0.54193	0.552915
0.21015	0.541774	0.552522
0.211136	0.541617	0.552124
0.212122	0.541459	0.551719
0.213108	0.5413	0.551306
0.214094	0.541139	0.550886
0.21508	0.540977	0.550457
0.216066	0.540813	0.550019
0.217052	0.540647	0.54957
0.218038	0.54048	0.54911
0.219024	0.540311	0.548638
0.22001	0.54014	0.548152
0.220996	0.539966	0.547653
0.221982	0.539791	0.547139
0.222968	0.539612	0.546608
0.223954	0.539432	0.54606
0.22494	0.539248	0.545494
0.225926	0.539062	0.544908
0.226912	0.538873	0.544301
0.227898	0.53868	0.543672
0.228884	0.538484	0.54302
0.22987	0.538284	0.542343
0.230856	0.538081	0.541639
0.231842	0.537874	0.540908
0.232828	0.537662	0.540148
0.233814	0.537447	0.539357
0.2348	0.537226	0.538533
0.235786	0.537002	0.537676
0.236772	0.536772	0.536782
0.237758	0.536537	0.535851
0.238743	0.536296	0.534881
0.239729	0.53605	0.533869
0.240715	0.535798	0.532814
0.241701	0.53554	0.531714
0.242687	0.535276	0.530566
0.243673	0.535005	0.529369
0.244659	0.534727	0.52812
0.245645	0.534442	0.526817
0.246631	0.534149	0.525458
0.247617	0.533849	0.524039
0.248603	0.533541	0.52256
0.249589	0.533224	0.521017
0.250575	0.532899	0.519407
