#q	Cp1sin	Cp1sn
-0.0872414	109,212	121,231
-0.0864405	109,369	121,368
-0.0856396	109,526	121,505
-0.0848387	109,685	121,643
-0.0840378	109,843	121,782
-0.0832369	110,002	121,921
-0.082436	110,162	122,061
-0.0816352	110,322	122,201
-0.0808343	110,483	122,342
-0.0800334	110,644	122,484
-0.0792325	110,805	122,626
-0.0784316	110,967	122,769
-0.0776307	111,130	122,912
-0.0768298	111,293	123,056
-0.0760289	111,457	123,200
-0.075228	111,622	123,346
-0.0744271	111,787	123,491
-0.0736263	111,952	123,638
-0.0728254	112,118	123,785
-0.0720245	112,285	123,932
-0.0712236	112,452	124,081
-0.0704227	112,620	124,230
-0.0696218	112,788	124,379
-0.0688209	112,957	124,529
-0.06802	113,127	124,680
-0.0672191	113,297	124,832
-0.0664182	113,468	124,984
-0.0656174	113,639	125,137
-0.0648165	113,812	125,291
-0.0640156	113,984	125,445
-0.0632147	114,158	125,600
-0.0624138	114,332	125,756
-0.0616129	114,506	125,912
-0.060812	114,682	126,069
-0.0600111	114,858	126,227
-0.0592102	115,034	126,385
-0.0584093	115,212	126,545
-0.0576085	115,390	126,705
-0.0568076	115,569	126,865
-0.0560067	115,748	127,027
-0.0552058	115,928	127,189
-0.0544049	116,109	127,352
-0.053604	116,291	127,516
-0.0528031	116,473	127,680
-0.0520022	116,656	127,845
-0.0512013	116,840	128,011
-0.0504004	117,024	128,178
-0.0495996	117,210	128,345
-0.0487987	117,396	128,514
-0.0479978	117,582	128,683
-0.0471969	117,770	128,853
-0.046396	117,958	129,023
-0.0455951	118,147	129,195
-0.0447942	118,337	129,367
-0.0439933	118,528	129,540
-0.0431924	118,719	129,714
-0.0423915	118,911	129,888
-0.0415907	119,104	130,064
-0.0407898	119,298	130,240
-0.0399889	119,493	130,417
-0.039188	119,688	130,595
-0.0383871	119,885	130,774
-0.0375862	120,082	130,954
-0.0367853	120,280	131,134
-0.0359844	120,478	131,316
-0.0351835	120,678	131,498
-0.0343826	120,878	131,681
-0.0335818	121,080	131,865
-0.0327809	121,282	132,050
