q,CpT_sin,CpT_sn
-0.185721,0.496681,0.566629
-0.1848,0.497208,0.567012
-0.183879,0.497734,0.567395
-0.182958,0.498259,0.567776
-0.182037,0.498781,0.568157
-0.181116,0.499303,0.568536
-0.180195,0.499822,0.568913
-0.179274,0.500341,0.56929
-0.178353,0.500858,0.569666
-0.177432,0.501373,0.57004
-0.176511,0.501887,0.570414
-0.17559,0.5024,0.570786
-0.174669,0.502911,0.571158
-0.173747,0.503421,0.571529
-0.172826,0.50393,0.571898
-0.171905,0.504438,0.572267
-0.170984,0.504944,0.572635
-0.170063,0.50545,0.573002
-0.169142,0.505954,0.573369
-0.168221,0.506457,0.573735
-0.1673,0.506959,0.5741
-0.166379,0.50746,0.574464
-0.165458,0.507961,0.574828
-0.164537,0.50846,0.575192
-0.163616,0.508959,0.575555
-0.162695,0.509456,0.575917
-0.161774,0.509954,0.576279
-0.160853,0.51045,0.576641
-0.159932,0.510946,0.577003
-0.159011,0.511441,0.577365
-0.15809,0.511936,0.577726
-0.157169,0.512431,0.578087
-0.156248,0.512925,0.578449
-0.155327,0.513419,0.57881
-0.154406,0.513913,0.579172
-0.153485,0.514406,0.579534
-0.152564,0.5149,0.579896
-0.151643,0.515393,0.580258
-0.150722,0.515887,0.580621
-0.149801,0.51638,0.580984
-0.14888,0.516874,0.581348
-0.147959,0.517368,0.581713
-0.147038,0.517863,0.582078
-0.146117,0.518358,0.582444
-0.145196,0.518853,0.582811
-0.144275,0.519349,0.583178
-0.143354,0.519846,0.583547
-0.142433,0.520343,0.583917
-0.141512,0.520841,0.584288
-0.140591,0.52134,0.58466
-0.13967,0.521841,0.585034
-0.138749,0.522342,0.585409
-0.137828,0.522844,0.585785
-0.136907,0.523347,0.586163
-0.135986,0.523852,0.586543
-0.135065,0.524358,0.586924
-0.134143,0.524866,0.587307
-0.133222,0.525375,0.587692
-0.132301,0.525886,0.588079
-0.13138,0.526399,0.588468
-0.130459,0.526913,0.58886
-0.129538,0.52743,0.589253
-0.128617,0.527948,0.589649
-0.127696,0.528469,0.590047
-0.126775,0.528991,0.590448
-0.125854,0.529516,0.590851
-0.124933,0.530043,0.591257
-0.124012,0.530573,0.591666
-0.123091,0.531105,0.592078
-0.12217,0.53164,0.592492
-0.121249,0.532177,0.59291
-0.120328,0.532718,0.593331
-0.119407,0.533261,0.593754
-0.118486,0.533807,0.594182
-0.117565,0.534356,0.594612
-0.116644,0.534908,0.595046
-0.115723,0.535464,0.595484
-0.114802,0.536023,0.595925
-0.113881,0.536585,0.596369
-0.11296,0.537151,0.596818
-0.112039,0.53772,0.597271
-0.111118,0.538293,0.597727
-0.110197,0.53887,0.598188
-0.109276,0.539451,0.598652
-0.108355,0.540035,0.599121
-0.107434,0.540624,0.599594
-0.106513,0.541216,0.600072
-0.105592,0.541813,0.600554
-0.104671,0.542414,0.601041
-0.10375,0.54302,0.601532
-0.102829,0.54363,0.602028
-0.101908,0.544244,0.602529
-0.100987,0.544863,0.603034
-0.100066,0.545487,0.603545
-0.0991446,0.546115,0.60406
-0.0982236,0.546749,0.604581
-0.0973026,0.547387,0.605107
-0.0963815,0.54803,0.605638
-0.0954605,0.548678,0.606175
-0.0945395,0.549332,0.606716
-0.0936185,0.54999,0.607264
-0.0926974,0.550654,0.607817
-0.0917764,0.551324,0.608375
-0.0908554,0.551998,0.608939
-0.0899344,0.552679,0.609509
-0.0890133,0.553364,0.610085
-0.0880923,0.554056,0.610667
-0.0871713,0.554753,0.611254
-0.0862503,0.555456,0.611848
-0.0853293,0.556165,0.612448
-0.0844082,0.556879,0.613054
-0.0834872,0.5576,0.613666
-0.0825662,0.558327,0.614284
-0.0816452,0.55906,0.614909
-0.0807241,0.559799,0.61554
-0.0798031,0.560544,0.616178
-0.0788821,0.561296,0.616822
-0.0779611,0.562053,0.617472
-0.07704,0.562818,0.618129
-0.076119,0.563588,0.618793
-0.075198,0.564365,0.619464
-0.074277,0.565149,0.620141
-0.073356,0.565939,0.620825
-0.0724349,0.566736,0.621516
-0.0715139,0.56754,0.622213
-0.0705929,0.56835,0.622918
-0.0696719,0.569167,0.62363
-0.0687508,0.569991,0.624348
-0.0678298,0.570822,0.625074
-0.0669088,0.571659,0.625807
-0.0659878,0.572504,0.626546
-0.0650667,0.573355,0.627293
-0.0641457,0.574214,0.628048
-0.0632247,0.575079,0.628809
-0.0623037,0.575952,0.629577
-0.0613826,0.576832,0.630353
-0.0604616,0.577718,0.631136
-0.0595406,0.578612,0.631927
-0.0586196,0.579513,0.632724
-0.0576986,0.580422,0.633529
-0.0567775,0.581337,0.634342
-0.0558565,0.58226,0.635162
-0.0549355,0.58319,0.635989
-0.0540145,0.584127,0.636823
-0.0530934,0.585071,0.637665
-0.0521724,0.586023,0.638515
-0.0512514,0.586982,0.639372
-0.0503304,0.587948,0.640236
-0.0494093,0.588922,0.641108
-0.0484883,0.589903,0.641987
-0.0475673,0.590891,0.642874
-0.0466463,0.591887,0.643768
-0.0457253,0.59289,0.644669
-0.0448042,0.5939,0.645578
-0.0438832,0.594917,0.646495
-0.0429622,0.595942,0.647418
-0.0420412,0.596975,0.64835
-0.0411201,0.598014,0.649288
-0.0401991,0.599061,0.650235
-0.0392781,0.600115,0.651188
-0.0383571,0.601176,0.652149
-0.037436,0.602245,0.653117
-0.036515,0.603321,0.654093
-0.035594,0.604404,0.655076
-0.034673,0.605494,0.656066
-0.0337519,0.606591,0.657063
-0.0328309,0.607696,0.658068
-0.0319099,0.608808,0.65908
-0.0309889,0.609926,0.660099
-0.0300679,0.611052,0.661126
-0.0291468,0.612185,0.662159
-0.0282258,0.613325,0.6632
-0.0273048,0.614472,0.664247
-0.0263838,0.615626,0.665302
-0.0254627,0.616787,0.666364
-0.0245417,0.617955,0.667433
-0.0236207,0.61913,0.668508
-0.0226997,0.620311,0.669591
-0.0217786,0.6215,0.670681
-0.0208576,0.622695,0.671777
-0.0199366,0.623897,0.67288
-0.0190156,0.625105,0.67399
-0.0180945,0.62632,0.675106
-0.0171735,0.627542,0.676229
-0.0162525,0.62877,0.677359
-0.0153315,0.630005,0.678495
-0.0144105,0.631246,0.679638
-0.0134894,0.632494,0.680788
-0.0125684,0.633748,0.681943
-0.0116474,0.635008,0.683105
-0.0107264,0.636274,0.684274
-0.00980534,0.637547,0.685448
-0.00888432,0.638826,0.686629
-0.00796329,0.640111,0.687816
-0.00704227,0.641402,0.689009
-0.00612125,0.642699,0.690208
-0.00520022,0.644002,0.691413
-0.0042792,0.645311,0.692624
-0.00335818,0.646625,0.693841
-0.00243715,0.647946,0.695064
-0.00151613,0.649272,0.696293
-0.000595106,0.650604,0.697527
